demonstrative_word,demonstrative_onset,gesture_apex,alignment_difference
die,8100.0,6866.666666666666,1233.333333333334
das,12570.0,15633.333333333332,-3063.333333333332
dem,15000.0,15633.333333333332,-633.3333333333321
das,20910.0,20966.666666666664,-56.66666666666424
dem,23130.0,20966.666666666664,2163.3333333333358
das,33600.0,42433.33333333333,-8833.333333333328
das,34954.032,42433.33333333333,-7479.301333333329
das,38550.0,42433.33333333333,-3883.3333333333285
das,40620.0,42433.33333333333,-1813.3333333333285
